Ta,Fuel,Tg,Tk,n,Damage
-17.0,0.972983,690.995,332.36199999999997,10667.0,1.6252829563921876e-15
-16.0,0.979266,698.5010000000001,332.918,10705.749,2.7540656951895106e-15
-15.0,0.984439,705.5369999999999,333.463,10742.293,4.4933298022590894e-15
-14.0,0.989819,712.42,334.13199999999995,10775.867,7.244533663650678e-15
-13.0,0.995094,719.2439999999999,334.82300000000004,10809.362,1.1585700431023486e-14
-12.0,1.000137,725.928,335.519,10842.534,1.827538925305249e-14
-11.0,1.005058,732.576,336.227,10875.538,2.863155815729896e-14
-10.0,1.009884,739.195,336.94699999999995,10908.363000000001,4.457524651376665e-14
-9.0,1.014613,745.791,337.675,10941.051000000001,6.901321630000802e-14
-8.0,1.019354,752.312,338.45599999999996,10972.306,1.060053180638447e-13
-7.0,1.024553,758.8739999999999,339.32099999999997,11001.053,1.628192469338201e-13
-6.0,1.030513,765.508,340.309,11025.123,2.5040808607133806e-13
-5.0,1.036601,772.18,341.32099999999997,11048.47,3.844937716016427e-13
-4.0,1.042626,778.8580000000001,342.333,11071.653,5.876588754963329e-13
-3.0,1.0486030000000002,785.547,343.345,11094.697,8.950259293975268e-13
-2.0,1.054534,792.247,344.35699999999997,11117.598999999998,1.3578047657627651e-12
-1.0,1.060419,798.9580000000001,345.37,11140.356000000002,2.051330613363421e-12
0.0,1.066259,805.679,346.384,11162.985,3.0886676375617436e-12
1.0,1.0720530000000001,812.4119999999999,347.398,11185.491000000002,4.633872027885887e-12
2.0,1.0778020000000001,819.154,348.413,11207.864,6.925655936224443e-12
3.0,1.0836569999999999,826.052,349.491,11229.446000000002,1.0413664293450893e-11
4.0,1.0895620000000001,832.9889999999999,350.588,11250.893999999998,1.5622914159679868e-11
5.0,1.095439,839.936,351.69599999999997,11272.08,2.3371009359046702e-11
6.0,1.1012950000000001,846.8969999999999,352.816,11293.014,3.483954826776104e-11
7.0,1.107129,853.868,353.94800000000004,11313.696000000002,5.1769431900300116e-11
8.0,1.112943,860.8510000000001,355.092,11334.127,7.665776098098647e-11
9.0,1.11876,867.857,356.25800000000004,11354.178999999998,1.1326762902913778e-10
10.0,1.124607,874.8960000000001,357.45300000000003,11373.864,1.6711117235497048e-10
11.0,1.130427,881.939,358.656,11393.323999999999,2.456663084873296e-10
12.0,1.1362379999999999,889.0,359.865,11412.573999999999,3.599611795683118e-10
13.0,1.142053,896.0369999999999,361.096,11431.296,5.251014143995886e-10
14.0,1.147767,903.799,362.289,11449.821000000002,7.881417201076924e-10
15.0,1.154512,912.45,363.559,11470.085,1.2300532442526495e-09
16.0,1.161238,921.1310000000001,364.833,11490.255,1.9134763523081606e-09
17.0,1.167918,929.836,366.106,11510.29,2.9643231446626143e-09
18.0,1.174553,938.563,367.379,11530.193000000001,4.575165155687882e-09
19.0,1.1811450000000001,947.316,368.652,11549.964,7.034392257826704e-09
20.0,1.1877,956.0980000000001,369.92400000000004,11569.613000000001,1.0794166129960775e-08
21.0,1.194221,964.914,371.195,11589.141000000001,1.674858614113711e-08
22.0,1.200711,973.7669999999999,372.463,11608.553,2.588963100837544e-08
23.0,1.207139,982.618,373.73400000000004,11627.822,3.9776626192132417e-08
24.0,1.213549,991.5939999999999,374.985,11647.063,6.097611678706749e-08
25.0,1.220823,1002.041,376.048,11667.968,9.940179733483511e-08
26.0,1.228065,1012.497,377.135,11688.577,1.4611425724050422e-07
27.0,1.235249,1022.952,378.246,11708.841,2.354142550744506e-07
28.0,1.242324,1033.391,379.349,11729.065,3.7810861557794926e-07
29.0,1.249292,1043.813,380.44300000000004,11749.247,6.036298185764255e-07
30.0,1.256156,1054.219,381.53,11769.389,9.524993303797294e-07
31.0,1.262932,1065.0819999999999,382.454,11791.47,1.5171012990862557e-06
32.0,1.2696479999999999,1077.253,382.964,11818.712,2.5049922889894125e-06
33.0,1.2762360000000001,1089.4260000000002,383.463,11845.876,4.101722454234272e-06
34.0,1.282793,1101.54,383.98699999999997,11872.31,6.6631725036716775e-06
35.0,1.28928,1113.363,384.57300000000004,11897.368,1.0632338208226652e-05
36.0,1.295679,1124.845,385.226,11921.051000000001,1.6631545459822e-05
37.0,1.30199,1136.3239999999998,385.87199999999996,11944.636999999999,2.584409172136585e-05
