Ta,Fuel,Tg,Tk,n,Damage
-17.0,0.972983,690.995,332.36199999999997,10667.0,1.0241437695358811e-13
-16.0,0.979266,698.5010000000001,332.918,10705.749,1.7435829063314993e-13
-15.0,0.984439,705.5369999999999,333.463,10742.293,2.8567964089523744e-13
-14.0,0.989819,712.42,334.13199999999995,10775.867,4.680164031928834e-13
-13.0,0.995094,719.2439999999999,334.82300000000004,10809.362,7.680033357866226e-13
-12.0,1.000137,725.928,335.519,10842.534,1.2411855004237533e-12
-11.0,1.005058,732.576,336.227,10875.538,1.9904904086586287e-12
-10.0,1.009884,739.195,336.94699999999995,10908.363000000001,3.169625849684791e-12
-9.0,1.014613,745.791,337.675,10941.051000000001,5.01049371715759e-12
-8.0,1.019354,752.312,338.45599999999996,10972.306,7.849719738916732e-12
-7.0,1.024553,758.8739999999999,339.32099999999997,11001.053,1.2271430314705384e-11
-6.0,1.030513,765.508,340.309,11025.123,1.917361845000925e-11
-5.0,1.036601,772.18,341.32099999999997,11048.47,2.9878362358293743e-11
-4.0,1.042626,778.8580000000001,342.333,11071.653,4.631364150614292e-11
-3.0,1.0486030000000002,785.547,343.345,11094.697,7.15102028876947e-11
-2.0,1.054534,792.247,344.35699999999997,11117.598999999998,1.0993341421935649e-10
-1.0,1.060419,798.9580000000001,345.37,11140.356000000002,1.6827618336999025e-10
0.0,1.066259,805.679,346.384,11162.985,2.565135806150441e-10
1.0,1.0720530000000001,812.4119999999999,347.398,11185.491000000002,3.8942079348868204e-10
2.0,1.0778020000000001,819.154,348.413,11207.864,5.887150722787018e-10
3.0,1.0836569999999999,826.052,349.491,11229.446000000002,8.94525065510907e-10
4.0,1.0895620000000001,832.9889999999999,350.588,11250.893999999998,1.3565962861017344e-09
5.0,1.095439,839.936,351.69599999999997,11272.08,2.048759457613722e-09
6.0,1.1012950000000001,846.8969999999999,352.816,11293.014,3.0818292793180785e-09
7.0,1.107129,853.868,353.94800000000004,11313.696000000002,4.618456223880678e-09
8.0,1.112943,860.8510000000001,355.092,11334.127,6.897241717893709e-09
9.0,1.11876,867.857,356.25800000000004,11354.178999999998,1.0268102831079183e-08
10.0,1.124607,874.8960000000001,357.45300000000003,11373.864,1.5255832017647412e-08
11.0,1.130427,881.939,358.656,11393.323999999999,2.256832560028441e-08
12.0,1.1362379999999999,889.0,359.865,11412.573999999999,3.327505277263217e-08
13.0,1.142053,896.0369999999999,361.096,11431.296,4.8806309945923326e-08
14.0,1.147767,903.799,362.289,11449.821000000002,7.214341934037791e-08
15.0,1.154512,912.45,363.559,11470.085,1.080067870802201e-07
16.0,1.161238,921.1310000000001,364.833,11490.255,1.6929211595244776e-07
17.0,1.167918,929.836,366.106,11510.29,2.524773675633914e-07
18.0,1.174553,938.563,367.379,11530.193000000001,3.7968898113227223e-07
19.0,1.1811450000000001,947.316,368.652,11549.964,5.179918529036372e-07
20.0,1.1877,956.0980000000001,369.92400000000004,11569.613000000001,5.826292245853538e-07
21.0,1.194221,964.914,371.195,11589.141000000001,8.743461622198463e-07
22.0,1.200711,973.7669999999999,372.463,11608.553,1.338794996979057e-06
23.0,1.207139,982.618,373.73400000000004,11627.822,2.046885791214717e-06
24.0,1.213549,991.5939999999999,374.985,11647.063,3.11863501706202e-06
25.0,1.220823,1002.041,376.048,11667.968,5.025863407559299e-06
26.0,1.228065,1012.497,377.135,11688.577,8.047306203203837e-06
27.0,1.235249,1022.952,378.246,11708.841,1.2828248672944197e-05
28.0,1.242324,1033.391,379.349,11729.065,2.023373754693664e-05
29.0,1.249292,1043.813,380.44300000000004,11749.247,3.155065840549086e-05
30.0,1.256156,1054.219,381.53,11769.389,4.888210764217364e-05
31.0,1.262932,1065.0819999999999,382.454,11791.47,7.641128056802325e-05
32.0,1.2696479999999999,1077.253,382.964,11818.712,0.000124286728895603
33.0,1.2762360000000001,1089.4260000000002,383.463,11845.876,0.0002013507559737564
34.0,1.282793,1101.54,383.98699999999997,11872.31,0.0003257285150070883
35.0,1.28928,1113.363,384.57300000000004,11897.368,0.0005250849427761077
36.0,1.295679,1124.845,385.226,11921.051000000001,0.0008229856739425552
37.0,1.30199,1136.3239999999998,385.87199999999996,11944.636999999999,0.0012689271086456216
