iter	RMSE
0	0.1548124891
1	0.1473854859
2	0.1403140963
3	0.1335976019
4	0.1271888746
5	0.1210879307
6	0.1152785342
7	0.1097480961
8	0.1044841206
9	0.09947177981
10	0.09470104925
11	0.09015820223
12	0.0858335204
13	0.08172667135
14	0.07780615583
15	0.07407498183
16	0.07052187588
17	0.06713937941
18	0.06391933522
19	0.06085381837
20	0.05793475264
21	0.05515582651
22	0.05251041669
23	0.04999186565
24	0.04759439547
25	0.0453119935
26	0.04313875586
27	0.0411203637
28	0.03917834434
29	0.03729952454
30	0.0355109444
31	0.03383181174
32	0.0322160389
33	0.03067622118
34	0.02920534884
35	0.02780498764
36	0.02647178332
37	0.02525812417
38	0.02408194987
39	0.02293040334
40	0.02184854342
41	0.02080394666
42	0.01980991207
43	0.01886379681
44	0.01796308335
45	0.01710194697
46	0.0162821311
47	0.01550159951
48	0.01477854582
49	0.01408173501
50	0.01340915877
51	0.01278835957
52	0.01220246879
53	0.01162928134
54	0.01107530248
55	0.01054777555
56	0.01004226645
57	0.00957630169
58	0.009119022824
59	0.008701747016
60	0.008305672051
61	0.007909719919
62	0.007551646245
63	0.007270199171
64	0.006922984259
65	0.00659812227
66	0.006282415402
67	0.005988428007
68	0.005702011392
69	0.005493409636
70	0.005230652785
71	0.004980455377
72	0.004758581122
73	0.004530835458
74	0.00431424929
75	0.004116762802
76	0.003934185007
77	0.003761236245
78	0.003597374786
79	0.003474580832
80	0.003313847712
81	0.003172246128
82	0.003038413727
83	0.002893059155
84	0.002759965683
85	0.002627971252
86	0.002543319788
87	0.002464262772
88	0.002364135023
89	0.002269604734
90	0.002166821528
91	0.002104814059
92	0.002023891507
93	0.001947987487
94	0.001876266456
95	0.001787992882
96	0.001704029094
97	0.001661147905
98	0.001583375075
99	0.001546155816
100	0.001474609797
101	0.00144200315
102	0.001411775408
103	0.001347536296
104	0.001286538216
105	0.001228649401
106	0.00118956887
107	0.001136737011
108	0.001086608838
109	0.001054098909
110	0.001008363378
111	0.000965051774
112	0.0009496986829
113	0.0009358035378
114	0.0009106813485
115	0.000887305969
116	0.0008510530713
117	0.0008162753496
118	0.0007836975426
119	0.0007465808591
120	0.0007173055593
121	0.0006888987117
122	0.0006814822046
123	0.000655360509
124	0.0006244917976
125	0.000601080236
126	0.0005790417058
127	0.0005580802133
128	0.0005382309552
129	0.0005198202601
130	0.000515569261
131	0.0004979883993
132	0.0004801487763
133	0.0004649530533
134	0.0004507245773
135	0.0004481367787
136	0.0004453490589
137	0.0004313583077
138	0.0004191250894
139	0.0003998928285
140	0.0003878793052
141	0.0003775894798
142	0.0003680127065
143	0.0003578929984
144	0.0003557302537
145	0.0003473690969
146	0.0003383980272
147	0.0003229888517
148	0.0003150667055
149	0.0003079385401
150	0.0003067679606
151	0.0003002294754
152	0.0002934568932
153	0.0002871815014
154	0.0002813780981
155	0.0002760120861
156	0.0002747297729
157	0.00026965752
158	0.0002627930885
159	0.0002582375708
160	0.0002544820109
161	0.000250693924
162	0.0002500794607
163	0.0002465161288
164	0.0002433392
165	0.0002404252655
166	0.0002399460155
167	0.0002362397794
168	0.0002358425422
169	0.0002332397651
170	0.0002307608568
171	0.0002207311097
172	0.0002204011666
173	0.0002172648885
174	0.0002152167599
175	0.0002149591559
176	0.0002147256311
