,Tg,Tk,n,Damage_e6
112,[1466.399],[583.412],[15435.11],[1.67143347344]
113,[1487.055],[593.972],[15542.245],[3.995306646752]
114,[1507.634],[604.491],[15648.492],[9.276232864501]
115,[1528.138],[614.967],[15753.851],[20.957442560891]
116,[1548.567],[625.401],[15858.335],[46.130030072822]
117,[1568.925],[635.794],[15961.964],[99.295241762612]
118,[1589.211],[646.147],[16064.742],[209.204097649656]
119,[1609.425],[656.46],[16166.695],[431.9590545566]
120,[1214.36],[451.073],[14023.232],[3.234938e-06]
121,[1235.991],[462.138],[14141.216],[1.1750729e-05]
122,[1257.531],[473.163],[14258.328],[4.2016369e-05]
123,[1278.981],[484.147],[14374.563],[0.000142239562]
124,[1300.342],[495.091],[14489.922],[0.000457916875]
125,[1321.612],[505.993],[14604.394],[0.001416765202]
126,[1342.794],[516.854],[14717.985],[0.004224073333]
127,[1363.476],[527.841],[14836.066],[0.012285764774]
128,[1383.851],[538.871],[14955.95],[0.034397359774]
129,[1404.15],[549.87],[15075.127],[0.093811289642]
130,[1424.419],[560.847],[15193.901],[0.245287403284]
131,[1444.709],[571.805],[15312.531],[0.627212806301]
132,[1465.053],[582.65],[15428.008],[1.568685599547]
133,[1485.721],[593.216],[15535.236],[3.766572794246]
134,[1506.313],[603.74],[15641.576],[8.734258988696]
135,[1526.828],[614.221],[15747.022],[19.762867080297]
136,[1547.269],[624.66],[15851.592],[43.678728565958]
137,[1567.636],[635.058],[15955.308],[94.143938118326]
